"operatorCode","operatorName","countryName","countryCode","Update"
"TAE","TRANSPORTES AEREOS MILITARES ECUATORIANOS C.A. (TAME)","Ecuador","ECU","""2017-10-18T01:00:02.487Z"""
"TAP","TRANSPORTES AEREOS PORTUGUESES, E.P.","Portugal","PRT","""2017-10-18T01:00:02.487Z"""
"RAM","ROYAL AIR MAROC - COMPAGNIE NATIONALE DE  TRANSPORTS AERIENS","Morocco","MAR","""2017-10-18T01:00:02.487Z"""
"SHU","SAKHALINSKIE AVIATRASSY (SAT)","Russian Federation","RUS","""2017-10-18T01:00:02.487Z"""
"BBR","SANTA BARBARA AIRLINES, C.A.","Venezuela (Bolivarian Republic of)","VEN","""2017-10-18T01:00:02.487Z"""
"SAS","SCANDINAVIAN AIRLINES SYSTEM","Sweden","SWE","""2017-10-18T01:00:02.487Z"""
"SAT","SERVICO ACOREANO DE TRANSPORTES AEREOS - EP (SATA)","Portugal","PRT","""2017-10-18T01:00:02.487Z"""
"SQC","SINGAPORE AIRLINES CARGO PTE LTD","Singapore","SGP","""2017-10-18T01:00:02.487Z"""
"SKW","SKY WEST AVIATION, INC. (ST. GEORGE, UT)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"SOO","SOUTHERN AIR, INC. (COLUMBUS, OH)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"ASL","SPURLING AVIATION (SEATTLE, WA)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"SLM","SURINAAMSE LUCHTVAART MAATSCHAPPIJ N.V.","Suriname","SUR","""2017-10-18T01:00:02.487Z"""
"SWU","SWISS EUROPEAN AIR LINES LTD","Switzerland","CHE","""2017-10-18T01:00:02.487Z"""
"SWR","SWISS INTERNATIONAL AIR LINES LTD","Switzerland","CHE","""2017-10-18T01:00:02.487Z"""
"DTA","TAAG, LINHAS AEREAS DE ANGOLA (ANGOLA AIRLINES)","Angola","AGO","""2017-10-18T01:00:02.487Z"""
"TAI","TACA INTERNATIONAL AIRLINES S.A.","El Salvador","SLV","""2017-10-18T01:00:02.487Z"""
"THA","THAI AIRWAYS INTERNATIONAL LTD.","Thailand","THA","""2017-10-18T01:00:02.487Z"""
"TCW","THOMAS COOK AIRLINES BELGIUM N.V.","Belgium","BEL","""2017-10-18T01:00:02.487Z"""
"TPU","TRANS AMERICAN AIRLINES S.A. - TRANS AM","Peru","PER","""2017-10-18T01:00:02.487Z"""
"LOF","TRANS STATES AIRLINES, INC. D/B/A TRANS   WORLD EXPRESS","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"LXP","TRANSPORTE AEREO S.A. (LAN EXPRESS)","Chile","CHL","""2017-10-18T01:00:02.487Z"""
"TCV","TRANSPORTES AEREOS DE CABO VERDE - TACV","Cabo Verde","CPV","""2017-10-18T01:00:02.487Z"""
"LAP","TRANSPORTES AEREOS DEL MERCOSUR S.A.","Paraguay","PRY","""2017-10-18T01:00:02.487Z"""
"TUS","TRUSTCO GROUP INTERNATIONAL (PTY) LTD","Namibia","NAM","""2017-10-18T01:00:02.487Z"""
"TAR","TUNIS AIR - SOCIETE TUNISIENNE DE L'AIR","Tunisia","TUN","""2017-10-18T01:00:02.487Z"""
"THY","TURK HAVA YOLLARI (TURKISH AIRLINES CO.)","Turkey","TUR","""2017-10-18T01:00:02.487Z"""
"AUI","UKRAINE INTERNATIONAL AIRLINES","Ukraine","UKR","""2017-10-18T01:00:02.487Z"""
"UPS","UNITED PARCEL SERVICE COMPANY, (LOUISVILLE, KY)","United States of America","USA","""2017-10-18T01:00:02.487Z"""
"UZB","UZBEKISTAN HAVO JULLARY - UZBEKISTAN AIRWAYS","Uzbekistan","UZB","""2017-10-18T01:00:02.487Z"""
"VJC","VIETJET AVIATION JOINT STOCK COMPANY","Viet Nam","VNM","""2017-10-18T01:00:02.487Z"""
